id,medicamento,presentacion,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica,No,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
82,GRIIN VITAMIN LIQUIPACK SOBRE CAJA X 12,"{'CAJA': [12, 900.0], 'SOBRE': [1, 75.0]}",Sobre,Suplemento vitamínico,Vitaminas,1 sobre al día,Aporte de vitaminas y minerales,82,1.0,44.95,75.0,0.4006666666666666,44.95,75.0
83,GUAYATOS FCO X 120 ML,"{'FRASCO': [1, 13.0]}",Solución oral,Antitusivo y expectorante,Guaifenesina,Adultos y niños mayores de 12 años: 10 ml cada 4 horas. Niños de 6 a 12 años: 5 ml cada 4 horas. Niños de 2 a 6 años: 2.5 ml cada 4 horas.,"Ayuda a disminuir la viscosidad de las secreciones bronquiales y facilita su eliminación, aliviando la tos y mejorando la expectoración.",83,4.0,8.1,13.0,0.3769230769230769,32.4,52.0
84,HIDROCLOROTIAZIDA 50 MG BLIST X 10 CAJA X 100 CAPLIN,"{'BLISTER': [10, 5.0], 'CAJA': [100, 50.0]}",Tableta,Tratamiento de la hipertensión arterial y la retención de líquidos,Hidroclorotiazida,50 mg,Diurético y antihipertensivo,84,13.0,2.5,5.0,0.5,32.5,65.0
85,IBUPROFEN 400 MGS BLISTER X 10  CAJA X 100 ARGUS,"{'BLISTER': [10, 4.0], 'CAJA': [100, 40.0]}",Tableta,"Alivio del dolor, fiebre y reducción de la inflamación",Ibuprofeno,400 mg,Antiinflamatorio no esteroideo (AINE),85,14.0,1.79,4.0,0.5525,25.06,56.0
86,IBUPROFEN 600 MGS BLISTER X 10 CAJA X 100  ARGUS,"{'BLISTER': [10, 5.0], 'CAJA': [100, 50.0]}",Tableta,Alivio del dolor y la inflamación,Ibuprofeno,600 mg,Antiinflamatorio no esteroideo,86,20.0,2.23,5.0,0.554,44.6,100.0
87,IBUPROFEN 800 MGS BLISTER X 10 CAJA X 100 ARGUS,"{'BLISTER': [10, 7.0], 'CAJA': [100, 70.0]}",Tableta,Alivio del dolor y la inflamación,Ibuprofeno,800 mg,"Antiinflamatorio, analgésico y antipirético",87,24.0,3.4,7.0,0.5142857142857143,81.6,168.0
88,IBUWIN 400 GEL CAPS BLIST X 10  CAJA X 50,"{'BLISTER': [10, 1.0], 'CAJA': [50, 5.0]}",Cápsula,Alivio del dolor y la inflamación,Ibuprofeno,400 mg,"Antiinflamatorio, analgésico y antipirético",88,83.0,0.47,1.0,0.53,39.01,83.0
89,IBUWIN 600 GEL CAPS BLIST X 10 CAJA X 100,"{'BLISTER': [10, 1.4], 'CAJA': [100, 14.0]}",Cápsula de gel,Alivio del dolor y la inflamación,Ibuprofeno,600 mg,"Antiinflamatorio, analgésico y antipirético",89,144.0,0.78,1.4,0.4428571428571428,112.32,201.6
90,IBUWIN FORTE  GEL CAPS BLIST X 10  CAJA X 100,"{'BLISTER': [10, 20.0], 'CAJA': [100, 200.0]}",Cápsulas de gel,Alivio del dolor y la inflamación,Ibuprofeno,400 mg por cápsula,"Antiinflamatorio, analgésico y antipirético",90,10.0,9.92,20.0,0.504,99.2,200.0
91,IRBERSA+HIDRO 300/25 BLIST X 10 CAJ X 30 CAPLIN,"{'BLISTER': [10, 61.0], 'CAJA': [30, 183.0]}",Tableta,Tratamiento de la hipertensión arterial,Irbesartan + Hidroclorotiazida,300 mg de Irbesartan + 25 mg de Hidroclorotiazida,Antihipertensivo,91,4.0,38.33,61.0,0.3716393442622951,153.32,244.0
92,IRBERSARTAN 150 MG BLIST X 10 CAJA X 30CAPLIN,"{'BLISTER': [10, 39.6], 'CAJA': [30, 118.8]}",Tableta recubierta,Tratamiento de la hipertensión arterial y la insuficiencia cardiaca,Irbesartan,150 mg,Antagonista de los receptores de angiotensina II,92,3.0,24.98,39.6,0.3691919191919192,74.94,118.8
93,IRBERSARTAN 300MG BLIST X 10 CAJA X 30 CAPLIN,"{'BLISTER': [10, 42.0], 'CAJA': [30, 126.0]}",Tableta recubierta,Tratamiento de la hipertensión arterial y la insuficiencia cardíaca,Irbesartan,300mg,"Antihipertensivo, antagonista de los receptores de angiotensina II",93,6.0,26.65,42.0,0.3654761904761905,159.89999999999998,252.0
94,JERINGA 10 ML 21 X 1 1/2 CAJA X 100,"{'CAJA': [100, 150.0], 'JERINGA PRELLENADA': [1, 1.5]}",Jeringa,Administración de medicamentos por vía intramuscular o subcutánea,No especificado,10 ml,Facilita la administración precisa de medicamentos en dosis específicas,94,0.0,0.65,1.5,0.5666666666666667,0.0,0.0
95,JERINGA 10 ML 22 X 1 1/2 CAJA X 100,"{'CAJA': [100, 150.0], 'JERINGA PRELLENADA': [1, 1.5]}",Jeringa,Administración de medicamentos por vía parenteral,No especificado,10 ml,No especificado,95,67.0,0.6,1.5,0.6,40.2,100.5
96,JERINGA 3 ML 21 X1 1/2 DIFASA CAJA X 100,"{'CAJA': [100, 100.0], 'JERINGA PRELLENADA': [1, 1.0]}",Jeringa,Administración de medicamentos por vía parenteral,No especificado,3 ml,No especificado,96,66.0,0.5,1.0,0.5,33.0,66.0
97,JERINGA 3 ML 22 X1 1/2 SUM SHIN CAJA X 100,"{'CAJA': [100, 100.0], 'JERINGA PRELLENADA': [1, 1.0]}",Jeringa,Administración de medicamentos por vía intramuscular o subcutánea,No especificado,3 ml,Facilita la administración controlada de medicamentos en el paciente,97,55.0,0.36,1.0,0.64,19.8,55.0
98,JERINGA 3 ML 23 X 1 1/4 THERFAM CAJA X 100,"{'CAJA': [100, 100.0], 'JERINGA PRELLENADA': [1, 1.0]}",Jeringa,Administración de medicamentos por vía intramuscular,No especificado,3 ml,Facilita la administración de medicamentos de forma segura y precisa,98,116.0,0.34,1.0,0.6599999999999999,39.440000000000005,116.0
99,JERINGA 3ML 23X1 1/12 DIFASA CAJA X 100,"{'CAJA': [100, 100.0], 'JERINGA PRELLENADA': [1, 1.0]}",Jeringa,Administración de medicamentos por vía intramuscular o subcutánea,,3ml,,99,87.0,0.4,1.0,0.6,34.800000000000004,87.0
100,JERINGA 5 ML 22 X 1 1/2 CAJA X 100,"{'CAJA': [100, 100.0], 'JERINGA PRELLENADA': [1, 1.0]}",Jeringa,Administración de medicamentos por vía intramuscular o subcutánea,No especificado,5 ml,Facilita la administración precisa de medicamentos en dosis específicas,100,23.0,0.355,1.0,0.645,8.165,23.0
101,KETOCONAZOL CREMA 15 GM ARGUS CAPLIN,"{'CREMA': [1, 10.0]}",Crema,"Tratamiento de infecciones fúngicas de la piel como tiña, candidiasis cutánea, pitiriasis versicolor, entre otras",Ketoconazol,Aplicar una capa delgada sobre la zona afectada dos veces al día,Antifúngico de amplio espectro que actúa inhibiendo la síntesis del ergosterol en la membrana celular de los hongos,101,2.0,4.65,10.0,0.5349999999999999,9.3,20.0
102,KETOROLACO 20 MG BLIST X 10 CAJA X 50,"{'BLISTER': [10, 2.0], 'CAJA': [50, 10.0]}",Tableta,Analgésico y antiinflamatorio no esteroideo,Ketorolaco,20 mg,Inhibidor de la síntesis de prostaglandinas,102,74.0,0.97,2.0,0.515,71.78,148.0
103,KLORPROSIN  (CLONIS+PRO)  BLIST X 10 CAJA X 100,"{'BLISTER': [10, 1.4], 'CAJA': [100, 14.0]}",Tableta,Tratamiento de la hipertensión arterial y la insuficiencia cardiaca,Clonidina y Propranolol,La dosis usual es de 1 tableta cada 8 horas,Antihipertensivo y antiarrítmico,103,80.0,0.84,1.4,0.3999999999999999,67.2,112.0
104,KLORPROSIN KIT INY X UNIDAD,"{'KIT': [1, 25.0]}",Kit inyectable,Tratamiento de infecciones bacterianas,Klorprosin,1 unidad por inyección,Antibiótico de amplio espectro,104,1.0,13.75,25.0,0.45,13.75,25.0
105,KOLICON 15 ML,"{'FRASCO': [1, 27.0]}",Gotas,Alivio de la congestión nasal y los síntomas del resfriado común,Clorhidrato de fenilefrina,1 a 2 gotas en cada fosa nasal cada 4 horas,Descongestionante nasal,105,1.0,15.95,27.0,0.4092592592592592,15.95,27.0
106,LANSOPRAZOL 30MG BLIS X 10 CAJA X 100 ARGUS,"{'BLIS': [10, 9.0], 'CAJA': [100, 90.0]}",Tableta,"Tratamiento de úlceras gástricas y duodenales, reflujo gastroesofágico, síndrome de Zollinger-Ellison, erradicación de Helicobacter pylori, entre otros",Lansoprazol,30mg,Inhibidor de la bomba de protones,106,18.0,4.16,9.0,0.5377777777777778,74.88,162.0
107,LEVOCETIRIZINA 5 MG  CAJA X 10 TAB,"{'CAJA': [10, 10.0], 'TABLETA': [1, 1.0]}",Tableta,Antihistamínico para el alivio de los síntomas de la rinitis alérgica y urticaria,Levocetirizina,5 mg,"Antihistamínico, bloquea la acción de la histamina en el cuerpo",107,37.0,0.57,1.0,0.43,21.09,37.0
108,LEVOGASTRIC CAJA X 30 BLISTER X 5,"{'CAJA': [30, 78.0], 'BLISTER': [5, 13.0]}",Tabletas,Tratamiento de la gastritis y úlceras gástricas,Levomepromazina,1 tableta cada 8 horas,Antagonista de los receptores de dopamina y serotonina,108,6.0,6.4,13.0,0.5076923076923077,38.400000000000006,78.0
109,LORATADINA 10MG  BLISTX 10 TABS CAPLIN CAJA X 100,"{'CAJA': [100, 25.0], 'BLISTER': [20, 5.0]}",Tableta,"Antihistamínico utilizado para aliviar los síntomas de la alergia como la picazón, estornudos y ojos llorosos",Loratadina,10mg,Antihistamínico no sedante,109,11.0,1.57,5.0,0.6859999999999999,17.27,55.0
110,LORATADINA 10MG X BLIS X 20 CAJA X 100 SELEC,"{'BLIS': [20, 8.0], 'CAJA': [100, 40.0]}",Tableta,"Antihistamínico utilizado para aliviar los síntomas de la alergia, como estornudos, picazón en los ojos, nariz que moquea y urticaria.",Loratadina,10mg,"Antihistamínico no sedante que actúa bloqueando la acción de la histamina en el cuerpo, reduciendo así los síntomas alérgicos.",110,22.0,4.19,8.0,0.4762499999999999,92.18,176.0
111,LORATADINA 5 MG JBE SELEC,"{'JARABE': [1, 15.0]}",Jarabe,Antihistamínico indicado para el alivio de los síntomas de la rinitis alérgica y urticaria,Loratadina,5 mg por cada 5 ml de jarabe,"Inhibe la acción de la histamina en el organismo, reduciendo los síntomas de alergia",111,3.0,8.09,15.0,0.4606666666666666,24.27,45.0
112,LUBRICANTE VIVE 120 ML NATURAL,"{'PERSERVATIVO': [1, 40.0]}",Gel,Lubricante íntimo para facilitar la penetración durante las relaciones sexuales,No especificado,Aplicar la cantidad necesaria en la zona genital antes de la relación sexual,Facilita la penetración y reduce la fricción durante las relaciones sexuales,112,2.0,25.35,40.0,0.3662499999999999,50.7,80.0
113,LUBRICANTE VIVE 120 ML S. FRESA,"{'PERSERVATIVO': [1, 40.0]}",Gel,Lubricante íntimo para facilitar la penetración durante las relaciones sexuales,No especificado,Aplicar la cantidad deseada en la zona genital antes de la actividad sexual,Facilita la lubricación y reduce la fricción durante las relaciones sexuales,113,1.0,25.35,40.0,0.3662499999999999,25.35,40.0
114,MAGNESIO LIVE VIT C CAJA X 18 SOBRES,"{'CAJA': [18, 270.0], 'SOBRE': [1, 15.0]}",Sobres,Suplemento dietético para aportar magnesio y vitamina C al organismo,Magnesio y Vitamina C,1 sobre al día disuelto en agua,Aporte de magnesio y vitamina C para mantener la salud y el bienestar,114,21.0,8.35,15.0,0.4433333333333333,175.35,315.0
115,METFORMINA 1 GM BLIST X 10 CAJA X 100 CAPLIN,"{'BLISTER': [10, 10.0], 'CAJA': [100, 100.0]}",Tableta,Tratamiento de la diabetes tipo 2,Metformina,1 gramo,Hipoglucemiante,115,10.0,5.995,10.0,0.4004999999999999,59.95,100.0
116,METFORMINA 1G BLIST X10 TAB CAJA X 100 INFASA,"{'CAJA': [100, 105.0], 'BLISTER': [10, 10.5]}",Tableta,Tratamiento de la diabetes tipo 2,Metformina,1 gramo por tableta,Hipoglucemiante,116,10.0,6.63,10.5,0.3685714285714286,66.3,105.0
117,METFORMINA 850 MG BLIST X 10 CAJA X 100 CAPLIN,"{'BLISTER': [10, 6.0], 'CAJA': [100, 60.0]}",Tableta,Tratamiento de la diabetes tipo 2,Metformina,850 mg,Hipoglucemiante,117,6.0,3.33,6.0,0.445,19.98,36.0
118,METFORMINA 850 MG BLIST X 10 TAB INFASA,"{'BLISTER': [10, 70.0], 'TABLETA': [1, 7.0]}",Tableta,Tratamiento de la diabetes tipo 2,Metformina,850 mg,Hipoglucemiante,118,9.0,4.18,7.0,0.4028571428571429,37.62,63.0
119,METOCARBAMOL BLIST X 10 CAJA X 100 CAPLIN,"{'BLISTER': [10, 8.0], 'CAJA': [100, 80.0]}",Cápsulas,Relajante muscular,Metocarbamol,Tomar 1 cápsula cada 6 horas,Actúa como agente relajante del músculo esquelético,119,7.0,3.3,8.0,0.5875,23.1,56.0
120,METOCARBAMOL BLIST X 10 CAJA X 100 SELECT,"{'BLISTER': [10, 8.0], 'CAJA': [100, 80.0]}",Tableta,Relajante muscular,Metocarbamol,Se recomienda tomar 1 tableta cada 8 horas,Actúa como agente central para el alivio del dolor y la rigidez muscular,120,14.0,4.5,8.0,0.4375,63.0,112.0
121,NAFASOLINA .025% DE 15 ML,"{'FRASCO': [1, 19.0]}",Solución para inhalación,Tratamiento de enfermedades respiratorias como el asma y la bronquitis,Nafazolina,0.025%,Descongestionante nasal,121,2.0,10.51,19.0,0.4468421052631579,21.02,38.0
122,NAPROLIV  (NAPROXENO  550 MG) CAJA X 50 BLIST X 10,"{'CAJA': [50, 85.0], 'BLISTER': [10, 17.0]}",Tableta,Analgésico y antiinflamatorio no esteroideo,NAPROXENO,550 MG,Inhibidor de la síntesis de prostaglandinas,122,3.0,10.26,17.0,0.3964705882352941,30.78,51.0
123,NAPROXENO 550 MG BLIST X 10 CAJA X 100 CAPLIN/ARGUS,"{'BLISTER': [10, 15.0], 'CAJA': [100, 150.0]}",Tableta,Analgésico y antiinflamatorio no esteroideo,Naproxeno,550 mg,Inhibe la síntesis de prostaglandinas,123,11.0,8.0,15.0,0.4666666666666667,88.0,165.0
124,NASOLIN GOTAS 15 ML  MEDIPROD,"{'FRASCO': [1, 32.0]}",Gotas,Descongestionante nasal,Oximetazolina,Adultos y niños mayores de 6 años: 1 a 2 gotas en cada fosa nasal cada 6-8 horas. No usar por más de 3 días seguidos.,Vasoconstrictor nasal,124,2.0,18.25,32.0,0.4296875,36.5,64.0
125,NEUROTROPAS GEL CAPS CAJA X 50 BLIST X 10 CONAMEP,"{'CAJA': [50, 7.5], 'BLISTER': [10, 1.5]}",Cápsulas,Suplemento vitamínico para el sistema nervioso,Vitaminas del complejo B,Tomar 1 cápsula al día,Ayuda a mejorar la función del sistema nervioso,125,65.0,0.89,1.5,0.4066666666666667,57.85,97.5
126,NISTATINA 30ML GOTAS SELEC,"{'FRASCO': [1, 18.0]}",Gotas,Antimicótico tópico para el tratamiento de infecciones por hongos en la piel y mucosas,Nistatina,30ml,Antifúngico,126,3.0,9.95,18.0,0.4472222222222222,29.85,54.0
127,NISTATINA CREMA SELEC,"{'CREMA': [1, 19.0]}",Crema,Tratamiento de infecciones por hongos en la piel,Nistatina,Aplicar una capa delgada sobre la zona afectada 2 a 3 veces al día,Antifúngico,127,1.0,10.95,19.0,0.4236842105263158,10.95,19.0
128,NISTATINA SUSPENSION  30 ML CAPLIN,"{'SUSPENSION': [1, 16.0]}",Suspensión,Tratamiento de infecciones por hongos en la piel y mucosas,Nistatina,30 ml,Antifúngico,128,2.0,8.95,16.0,0.440625,17.9,32.0
129,NITASEL NITAXOZANIDA 100MG/5ML SUS SELEC,"{'VIAL': [1, 45.0]}",Suspensión oral,Tratamiento de infecciones causadas por parásitos intestinales y protozoarios,Nitazoxanida,100mg/5ml,Antiparasitario,129,3.0,25.95,45.0,0.4233333333333333,77.85,135.0
130,NITASEL NITAZOXANIDA 500MG X6TAB SELECT,"{'CAJA': [6, 192.0], 'TABLETA': [1, 32.0]}",Tableta,Tratamiento de infecciones causadas por parásitos y bacterias en el tracto gastrointestinal,Nitazoxanida,500mg por tableta,Antiparasitario y antibacteriano,130,8.0,17.85,32.0,0.4421874999999999,142.8,256.0
131,OMEPRAZOL 20 MG BLISTER X 10 ARGUS CAJA X 100,"{'BLISTER': [10, 5.0], 'CAJA': [100, 50.0]}",Tableta,"Tratamiento de úlceras gástricas, duodenales, esofagitis por reflujo gastroesofágico, síndrome de Zollinger-Ellison, erradicación de Helicobacter pylori, entre otros.",Omeprazol,20 mg,"Inhibidor de la bomba de protones, reduce la producción de ácido en el estómago.",131,6.0,2.095,5.0,0.581,12.57,30.0
132,PENETRACINA 3 CREMA 15 GR MEDIPROD,"{'CREMA': [1, 49.0]}",Crema,Tratamiento tópico de infecciones de la piel causadas por bacterias sensibles a la penicilina.,Penicilina,Aplicar una capa delgada sobre la zona afectada 2 a 3 veces al día,Antibiótico de amplio espectro que actúa inhibiendo la síntesis de la pared celular bacteriana,132,2.0,29.95,49.0,0.3887755102040816,59.9,98.0
133,PODOFILINA 25% X 5 ML F QUIMICA,"{'CREMA': [1, 52.0]}",Solución tópica,Tratamiento de verrugas genitales y condilomas acuminados,Podofilotoxina,"Aplicar una capa fina sobre las lesiones 1 vez al día durante 3 días, luego descansar 4 días y repetir el ciclo si es necesario",Agente queratolítico y antimitótico,133,1.0,30.65,52.0,0.4105769230769231,30.65,52.0
134,PREDNISONA 50MG BLISTER X 10 SELEC CAJA X 100,"{'BLISTER': [10, 4.2], 'CAJA': [100, 42.0]}",Tableta,"Antiinflamatorio, inmunosupresor",Prednisona,50mg,"Antiinflamatorio, inmunosupresor",134,22.0,1.879,4.2,0.5526190476190477,41.338,92.4
135,PRENATALES (MULTIVI+MINERA) GEL CAPS KURANTIS,"{'CAPSULA': [1, 10.0]}",Cápsulas de gel,Suplemento vitamínico y mineral para mujeres embarazadas,Vitaminas y minerales,Tomar una cápsula al día,Ayuda a cubrir los requerimientos nutricionales durante el embarazo,135,1.0,6.095,10.0,0.3905,6.095,10.0
136,PRENATALES PLUS 6 BLIS X 5 CAJA X 30 CAP CONAMEP,"{'BLIS': [5, 11.0], 'CAJA': [30, 66.0]}",Cápsulas,Suplemento vitamínico para mujeres embarazadas,"Ácido fólico, Hierro, Calcio, Vitamina D, Vitamina B12, entre otros",Tomar una cápsula diaria con alimentos,Ayuda a cubrir los requerimientos nutricionales durante el embarazo,136,12.0,6.57,11.0,0.4027272727272727,78.84,132.0
137,PROSTALINE CAJA X 30 BLISTER X 10 CAP,"{'CAJA': [30, 60.0], 'BLISTER': [10, 20.0]}",Cápsulas,Tratamiento de la hiperplasia prostática benigna,Serenoa repens,Tomar 1 cápsula al día,Inhibición de la enzima 5-alfa reductasa y disminución de la inflamación prostática,137,3.0,11.833,20.0,0.40835,35.499,60.0
138,PRUDENCE ANILLOS Y PUNTOS CAJA X 3 PERSERVATIVOS,"{'CAJA': [3, 75.0], 'SACHET': [1, 25.0]}",Preservativo,Método anticonceptivo de barrera para prevenir embarazos no deseados y proteger contra enfermedades de transmisión sexual,Látex,Uso único,Prevención de embarazos y protección contra enfermedades de transmisión sexual,138,1.0,14.9,25.0,0.4039999999999999,14.9,25.0
139,"PRUDENCE CAJA X 3   MENTA, FRESA,CHOCOLATE,UVA","{'CAJA': [3, 72.0], 'SACHET': [1, 24.0]}",Pastillas,Suplemento dietario para el cuidado de la salud íntima femenina,No especificado,1 pastilla cada 24 horas,Ayuda a mantener el equilibrio de la flora vaginal y prevenir infecciones,139,5.0,14.15,24.0,0.4104166666666666,70.75,120.0
140,PRUDENCE CLASICO SOBRE X 3 PERSERVATIVO,"{'CAJA': [3, 60.0], 'SACHET': [1, 20.0]}",Sobre,Preservativo masculino para la prevención de enfermedades de transmisión sexual y embarazos no deseados,Látex,1 preservativo por cada relación sexual,Barrea mecánica para evitar el contacto directo entre los fluidos corporales durante la relación sexual,140,1.0,11.75,20.0,0.4125,11.75,20.0
141,PRUDENCE RETARDANTE SOBRE X 3 PERSERVATIVOS,"{'CAJA': [3, 105.0], 'SACHET': [1, 35.0]}",Preservativos,Retardante para prolongar la eyaculación y mejorar la experiencia sexual,Benzocaína,Utilizar según las indicaciones del fabricante,Anestésico local para reducir la sensibilidad en el pene y retrasar la eyaculación,141,1.0,20.95,35.0,0.4014285714285714,20.95,35.0
142,PRUDENCE SENSITIVE SOBRE X 3 PERSERVATIVOS,"{'CAJA': [3, 81.0], 'SACHET': [1, 27.0]}",Preservativos,Preservativos de látex lubricados y con forma anatómica para una mayor comodidad y sensibilidad,No aplica,Uso único,Prevención de enfermedades de transmisión sexual y embarazos no deseados,142,1.0,16.1,27.0,0.4037037037037037,16.1,27.0
143,RELAX PLUS CAJA X 30 CAPS BLIST X 10 CONAMEP,"{'CAJA': [30, 4.5], 'BLISTER': [10, 1.5]}",Cápsulas,Medicamento utilizado para el tratamiento de la ansiedad y el estrés.,No especificado,"Tomar 1 cápsula cada 8 horas, según indicación médica.",Ansiolítico y relajante muscular,143,68.0,0.88,1.5,0.4133333333333333,59.84,102.0
144,SAL INGLESA SOBRE X 25 VESA,"{'SOBRE': [25, 25.0], 'BOLSA': [1, 1.0]}",Sobres,Laxante,Sulfato de magnesio,1 sobre disuelto en agua cada 8 horas,Laxante osmótico,144,34.0,0.33,1.0,0.6699999999999999,11.22,34.0
145,SECNIDAZOL 125 MG SUSP FCO X 30 ML,"{'FRASCO': [1, 23.0]}",Suspensión,Tratamiento de infecciones causadas por parásitos y bacterias,Secnidazol,125 mg,Antiparasitario y antibacteriano,145,2.0,13.4,23.0,0.417391304347826,26.8,46.0
146,SECNIDAZOL 500 MG X 4 TAB ARGUS,"{'CAJA': [4, 36.0], 'TABLETA': [1, 9.0]}",Tableta,Tratamiento de infecciones causadas por parásitos y bacterias,Secnidazol,500 mg por tableta,Antiparasitario y antibacteriano,146,5.0,3.54,9.0,0.6066666666666667,17.7,45.0
147,SECNIDAZOL 500 MG X 4 TAB CAPLIN,"{'CAJA': [4, 32.0], 'TABLETA': [1, 8.0]}",Tableta,Tratamiento de infecciones causadas por parásitos y bacterias,Secnidazol,500 mg por tableta,Antiparasitario y antibacteriano,147,3.0,4.43,8.0,0.44625,13.29,24.0
148,SECNIDAZOL SUSP 125 MG 5ML CAPLIN,"{'SUSPENSION': [1, 20.0]}",Suspensión,Tratamiento de infecciones causadas por parásitos y bacterias,Secnidazol,125 mg/5 ml,Antiparasitario y antibacteriano,148,3.0,11.0,20.0,0.45,33.0,60.0
149,SEGURA PLUS,"{'BOTELLA': [1, 23.0]}",Tableta,Tratamiento de la hipertensión arterial,Losartan,50 mg una vez al día,Antihipertensivo,149,2.0,13.2,23.0,0.4260869565217391,26.4,46.0
150,SENOSIDOS  CAJA X 30 BLIST X 10 CONAMEP,"{'CAJA': [30, 3.0], 'BLISTER': [10, 1.0]}",Tabletas,Laxante,Senósidos A y B,Tomar 1 tableta antes de acostarse,Estimula el peristaltismo intestinal,150,73.0,0.57,1.0,0.43,41.61,73.0
151,SOSTENGO SILDENAFIL 100MG CAJA X 24 SOB Y CAJITA X 2 TAB,"{'CAJA': [24, 240.0], 'TABLETA': [1, 10.0]}",Tableta,Tratamiento de la disfunción eréctil,Sildenafil,100mg,Inhibidor de la fosfodiesterasa tipo 5,151,6.0,4.92,10.0,0.508,29.52,60.0
152,SPASMOCLOR (CLORDIA+BROM DE CLID) BLISX 20 CJA X 100,"{'BLISTER': [20, 1.6], 'CAJA': [100, 8.0]}",Tabletas,Tratamiento de espasmos musculares y cólicos,Clordiazepóxido + Bromuro de clidinio,"La dosis usual es de 1 tableta cada 6 horas, según indicación médica","El clordiazepóxido actúa como relajante muscular y ansiolítico, mientras que el bromuro de clidinio actúa como antiespasmódico",152,107.0,0.939,1.6,0.4131250000000001,100.473,171.20000000000002
153,SPORT GEL FORTE 30 GRS,"{'CAPSULAS': [1, 20.0]}",Gel,Alivio del dolor muscular y articular,Mentol,Aplicar una capa delgada sobre la zona afectada hasta 3 veces al día,Analgésico y antiinflamatorio,153,1.0,11.25,20.0,0.4375,11.25,20.0
154,SULFATO DE SODA X 16 SOBRES DISFAVIL,"{'CAJA': [16, 8.0], 'BOLSA': [1, 0.5]}",Sobres,Laxante,Sulfato de sodio,1 sobre disuelto en agua antes de acostarse,Laxante osmótico,154,0.0,0.28,0.5,0.4399999999999999,0.0,0.0
155,SULFATO FERROSO 350 MG BLIST X 10 SELEC,"{'BLISTER': [10, 3.0]}",Tableta,Suplemento de hierro para tratar la deficiencia de hierro en el organismo,Sulfato ferroso,350 mg,Suplemento de hierro para corregir la anemia ferropénica,155,10.0,1.62,3.0,0.4599999999999999,16.200000000000003,30.0
156,SUPOSITORIOS ACETAMINF 300MG CAPLIN,"{'SUPOSITORIO': [1, 3.0]}",Supositorios,Alivio del dolor y la fiebre,Acetaminofén,300mg,Analgésico y antipirético,156,2.0,1.44,3.0,0.52,2.88,6.0
157,TELMISARTAN 80 MG CAJA X 30 BLIST X 10,"{'CAJA': [30, 132.0], 'BLISTER': [10, 44.0]}",Tableta,Tratamiento de la hipertensión arterial y la insuficiencia cardiaca,Telmisartan,80 mg,"Antihipertensivo, antagonista de los receptores de angiotensina II",157,6.0,26.72,44.0,0.3927272727272727,160.32,264.0
158,TETRACICLINA 500 MG BLISTER X 10 CAJA X 100,"{'BLISTER': [10, 7.0], 'CAJA': [100, 70.0]}",Tableta,Antibiótico de amplio espectro utilizado en el tratamiento de infecciones bacterianas,Tetraciclina,500 mg,"Inhibe la síntesis de proteínas en las bacterias, impidiendo su crecimiento y reproducción",158,14.0,3.04,7.0,0.5657142857142857,42.56,98.0
159,TRIMETOSE VIJOSA 120ML JARABE,"{'JARABE': [1, 35.0]}",Jarabe,Antitusivo y mucolítico,Trimetazidina,Adultos: 10 ml cada 8 horas. Niños: Consultar al médico,Ayuda a aliviar la tos y facilita la eliminación de mucosidad,159,4.0,21.95,35.0,0.3728571428571429,87.8,140.0
160,"TRIPLE C FLUID CAJA X 30 SOBRES (ACETIL,PIRIDOXINA, VIT C)","{'CAJA': [30, 450.0], 'SOBRE': [1, 15.0]}",Sobres,Suplemento vitamínico,"['Acetilcisteína', 'Piridoxina', 'Vitamina C']",1 sobre al día,Ayuda a fortalecer el sistema inmunológico y prevenir resfriados,160,7.0,8.298,15.0,0.4468,58.086,105.0
161,UNAL (ANTICOCEP MENS) INYEC PIERSAN,"{'AMPOLLA': [1, 36.0]}",Inyectable,"Anticoagulante utilizado en la prevención y tratamiento de trombosis venosa profunda, embolias pulmonares y tromboembolismos arteriales",Heparina sódica,La dosis y duración del tratamiento deben ser indicadas por un profesional de la salud,Anticoagulante,161,2.0,19.94,36.0,0.446111111111111,39.88,72.0
162,UNIACT KIT (MEDROXIPROGESTERONA 150M) CA,"{'KIT': [1, 60.0]}",Inyección,Anticonceptivo hormonal inyectable de uso mensual,Medroxiprogesterona,150 mg,Inhibe la ovulación y modifica el moco cervical para dificultar el paso de los espermatozoides,162,2.0,33.3,60.0,0.445,66.6,120.0
163,VIRO GRIP AM SOBRE X 2 GEL CAP CAJA X 24,"{'SOBRE': [2, 5.0], 'CAJA': [24, 60.0]}",Cápsulas,Alivio de los síntomas de gripa y resfriado común,"Paracetamol, Fenilefrina, Clorfenamina",Tomar 1 cápsula cada 6 horas,"Analgésico, Descongestionante, Antihistamínico",163,35.0,2.81,5.0,0.438,98.35,175.0
164,VIRO GRIP GRIPE Y TOS JBE 120 ML,"{'JARABE': [1, 0.0]}",Jarabe,Tratamiento de la gripe y la tos,"Paracetamol, Clorfenamina, Fenilefrina",Tomar 10 ml cada 6 horas,Alivio de los síntomas de la gripe y la tos,164,0.0,0.0,0.0,,0.0,0.0
