id,medicamento,presentacion,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica,No,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
103,GOTERO PLASTICO,"{'FRASCO': [1, 4.0]}",Gotas,Administración de medicamentos en forma líquida por vía oral,No aplica,Variable,No aplica,103,3.0,1.32,4.0,0.6699999999999999,3.96,12.0
104,GUAYACOLATO CON JBE.TOLU 120ML MENTOL HIPERFARM,"{'JARABE': [1, 24.0]}",Jarabe,Expectorante para el alivio de la tos,Guayacolato,Variable,Expectorante,104,2.0,14.4,24.0,0.3999999999999999,28.8,48.0
105,HIDROCORTISONA 0.25 SELEC,"{'JARABE': [1, 16.0]}",Crema,Antiinflamatorio tópico para afecciones de la piel,Hidrocortisona,0.25%,Antiinflamatorio,105,2.0,8.15,16.0,0.490625,16.3,32.0
106,HIDROCORTIZONA 1% CREMA 30 GRS SELEC,"{'CREMA': [1, 20.0]}",Crema,Antiinflamatorio tópico para afecciones de la piel,Hidrocortisona,1%,Antiinflamatorio,106,2.0,12.0,20.0,0.4,24.0,40.0
107,HIERRO +ACIDO FOLICO X 30 TAB. SELEC,"{'CAJA': [30, 510.0], 'TABLETA': [1, 17.0]}",Tableta,Suplemento de hierro y ácido fólico para prevenir o tratar la anemia,"Hierro, Ácido fólico",Variable,Suplemento nutricional,107,4.0,9.53,17.0,0.4394117647058824,38.12,68.0
108,IBUPROFEN 100MG/5ML SUSP SELEC,"{'SUSPENSION': [1, 14.0]}",Suspensión oral,Analgésico y antiinflamatorio,Ibuprofeno,100 mg/5 ml,"Analgésico, Antiinflamatorio",108,5.0,7.5,14.0,0.4642857142857143,37.5,70.0
109,IBUPROFENO+METOCARBA CAJA X 30 BLIST X 10,"{'CAJA': [30, 5.7], 'BLISTER': [10, 1.9]}",Tableta,Analgésico y antiespasmódico,"Ibuprofeno, Metocarbamol",Variable,"Analgésico, Antiespasmódico",109,74.0,1.04,1.9,0.4526315789473684,76.96000000000001,140.6
110,IRBERSARTAN 150 MGS CAJA X 30 BLIST X 10 SELEC,"{'CAJA': [30, 84.0], 'BLISTER': [10, 28.0]}",Tableta,Antihipertensivo para el control de la presión arterial,Irbesartán,150 mg,Antihipertensivo,110,7.0,17.24,28.0,0.3842857142857143,120.68,196.0
111,IRBERSARTAN 300 MG CAJA X 30 BLIST X 10  SELEC,"{'CAJA': [30, 99.0], 'BLISTER': [10, 33.0]}",Tableta,Antihipertensivo,Irbesartan,300 mg,Bloqueador de los receptores de angiotensina II,111,5.0,18.0,33.0,0.4545454545454545,90.0,165.0
112,IRBESARTAN 150/12.5MG HIDROCLO X 30 TABS CAPLIN,"{'CAJA': [1, 38.33]}",Tableta,Antihipertensivo,Irbesartan + Hidroclorotiazida,150 mg + 12.5 mg,Bloqueador de los receptores de angiotensina II + Diurético,112,5.0,24.0,38.33,0.3738585963996869,120.0,191.65
113,KETOROLACO 60MG/2ML AMPOLLA VIJOSA,"{'AMPOLLA': [1, 13.0]}",Ampolla,Analgésico y antiinflamatorio no esteroideo,Ketorolaco,60 mg/2 ml,Inhibidor de la síntesis de prostaglandinas,113,4.0,6.75,13.0,0.4807692307692308,27.0,52.0
114,LAGRIMAS OCULARES GRS 15 ML GOTAS SELEC,"{'BOTE': [1, 30.0]}",Gotas,Hidratante ocular,No especificado,No especificado,Hidratación y lubricación del ojo,114,0.0,17.55,30.0,0.415,0.0,0.0
115,LANSOPRAZOL 30 MGS CAJA X 100 BLIST X 10 LOTUS,"{'CAJA': [100, 7.0], 'BLISTER': [10, 0.7]}",Cápsula,Inhibidor de la bomba de protones,Lansoprazol,30 mg,Reducción de la producción de ácido gástrico,115,53.0,0.384,0.7,0.4514285714285714,20.352,37.1
116,LEVOFLOXACINA 500 MG BLIST X 10 SELEC UMEDICA,"{'BLISTER': [1, 28.0]}",Tableta,Antibiótico,Levofloxacina,500 mg,Inhibición de la síntesis de ADN bacteriano,116,4.0,12.96,28.0,0.5371428571428571,51.84,112.0
117,"LIDOCAINA 1% 3,5 ML PROMEGAL","{'FRASCO': [1, 3.0]}",Solución inyectable,Anestésico local,Lidocaína,1%,Bloqueo de los canales de sodio en las membranas celulares,117,10.0,1.08,3.0,0.64,10.8,30.0
118,LIDOCAINA 2% CAPLIN 3ML,"{'FRASCO': [1, 3.0]}",Solución inyectable,Anestésico local,Lidocaína,2%,Bloqueo de los canales de sodio en las membranas celulares,118,18.0,1.08,3.0,0.64,19.44,54.0
119,LOPERAMIDA 2MG CAJA X 100 BLIST X 20 SELECT,"{'CAJA': [100, 50.0], 'BLISTER': [20, 10.0]}",Tableta,Antidiarreico,Loperamida,2 mg,Inhibición de la motilidad intestinal,119,7.0,2.99,10.0,0.701,20.93,70.0
120,LOSARTAN 100 MG BLIS X 10 CAJA X 100 BALAXI,"{'BLISTER': [10, 7.0], 'CAJA': [100, 70.0]}",Tableta,Antihipertensivo,Losartan,100 mg,Bloqueador de los receptores de angiotensina II,120,6.0,3.0,7.0,0.5714285714285714,18.0,42.0
121,LOSARTAN 50 MG BLIS X 10  CAJA X 100 BALAXI,"{'BLISTER': [10, 5.0], 'CAJA': [100, 50.0]}",Tableta,Tratamiento de la hipertensión arterial,Losartan,50 mg,Antihipertensivo,121,6.0,1.44,5.0,0.712,8.64,30.0
122,LUBRICANTE VIVE SASHET,"{'BOTE': [1, 6.0]}",Gel,Lubricante íntimo,No aplica,No aplica,Lubricante,122,1.0,3.2,6.0,0.4666666666666666,3.2,6.0
123,LUBRICANTE VIVE SASHET 5 ML FRESA,"{'BOTE': [1, 6.0]}",Gel,Lubricante íntimo con sabor a fresa,No aplica,No aplica,Lubricante,123,2.0,3.2,6.0,0.4666666666666666,6.4,12.0
124,MEBENDAZOL 100MG SUSP 30 ML SELEC,"{'SUSPENSION': [1, 10.0]}",Suspensión oral,Antiparasitario para el tratamiento de infecciones por parásitos intestinales,Mebendazol,100 mg/5 ml,Antiparasitario,124,3.0,6.0,10.0,0.4,18.0,30.0
125,MEBENDAZOL 100MGX BLIST X 6 TAB,"{'BLISTER': [1, 4.0]}",Tableta,Antiparasitario para el tratamiento de infecciones por parásitos intestinales,Mebendazol,100 mg,Antiparasitario,125,9.0,2.4,4.0,0.4,21.6,36.0
126,MELOXICAM 15 MG/1.5 ML AMP SELEC,"{'AMPOLLA': [1, 7.0]}",Ampolla,Antiinflamatorio no esteroideo para el tratamiento del dolor y la inflamación,Meloxicam,15 mg/1.5 ml,Antiinflamatorio,126,15.0,2.76,7.0,0.6057142857142858,41.4,105.0
127,MELOXICAN 15MG CAJA X 30 TABS BLIST X 10 SELEC,"{'CAJA': [30, 18.0], 'BLISTER': [10, 6.0]}",Tableta,Antiinflamatorio no esteroideo para el tratamiento del dolor y la inflamación,Meloxicam,15 mg,Antiinflamatorio,127,5.0,3.37,6.0,0.4383333333333333,16.85,30.0
128,MENOESTROGEN CAJA X 30 CAPS  BLIST X 10 FARMALINE,"{'CAJA': [30, 480.0], 'BLISTER': [10, 160.0], 'CAPSULA': [1, 16.0]}",Cápsula,Terapia hormonal para el tratamiento de los síntomas de la menopausia,No aplica,No aplica,Terapia hormonal,128,1.0,9.2,16.0,0.425,9.2,16.0
129,METFO+GLIB 850/5MG BLIST X 10 CAJA X 100 INFASA,"{'BLISTER': [10, 10.0], 'CAJA': [100, 100.0]}",Tableta,Antidiabético para el tratamiento de la diabetes tipo 2,Metformina + Glibenclamida,850 mg + 5 mg,Antidiabético,129,7.0,5.84,10.0,0.416,40.88,70.0
130,METFORMINA 500 MG  BLIST X 10 CAJA X 30 SELEC,"{'BLISTER': [10, 8.33], 'CAJA': [30, 24.99]}",Tableta,Antidiabético para el tratamiento de la diabetes tipo 2,Metformina,500 mg,Antidiabético,130,2.0,4.77,8.33,0.4273709483793518,9.54,16.66
131,METOCARBAMOL AMP SELECT,"{'AMPOLLA': [1, 8.0]}",Ampolla,Relajante muscular,Metocarbamol,Inyectable,Relajante muscular de acción central,131,4.0,3.97,8.0,0.5037499999999999,15.88,32.0
132,METRIZOL V OVULOS CAJA X 10 (METRO+NISTA),"{'CAJA': [10, 380.0], 'SUPOSITORIO': [1, 38.0]}",Óvulos,Tratamiento de infecciones vaginales,Metronidazol + Nistatina,Vaginal,Antibiótico + Antifúngico,132,1.0,23.3,38.0,0.3868421052631579,23.3,38.0
133,METRONIDAZOL 125 MG SUSP 120 ML SELEC,"{'SUSPENSION': [1, 13.0]}",Suspensión,Tratamiento de infecciones bacterianas,Metronidazol,Oral,Antibiótico,133,3.0,7.4,13.0,0.4307692307692307,22.200000000000003,39.0
134,METRONIDAZOL 500 MG BLIST X 10 CAJA X 100  CAPLIN,"{'BLISTER': [10, 5.0], 'CAJA': [100, 50.0]}",Tabletas,Tratamiento de infecciones bacterianas,Metronidazol,Oral,Antibiótico,134,12.0,2.66,5.0,0.4679999999999999,31.92,60.0
135,METRONIDAZOL 500 MGS X 10 OVULOS VAG CAPLIN,"{'CAJA': [1, 25.0]}",Óvulos,Tratamiento de infecciones vaginales,Metronidazol,Vaginal,Antibiótico,135,2.0,14.4,25.0,0.424,28.8,50.0
136,METRONIDAZOL+ NIST CAJA 5 OV CAPLIN,"{'CAJA': [1, 26.0]}",Óvulos,Tratamiento de infecciones vaginales,Metronidazol + Nistatina,Vaginal,Antibiótico + Antifúngico,136,3.0,15.0,26.0,0.4230769230769231,45.0,78.0
137,MICONAZOL 2% CREMA 15 GRS CAPLIN,"{'CREMA': [1, 12.0]}",Crema,Tratamiento de infecciones por hongos en la piel,Miconazol,Tópica,Antifúngico,137,2.0,6.5,12.0,0.4583333333333333,13.0,24.0
138,MIGRAPTAN (CLONIXATO + ERGOTAMINA) BLISTER  X 10,"{'BLISTER': [1, 2.0]}",Tabletas,Tratamiento del dolor de cabeza por migraña,Clonixato + Ergotamina,Oral,Analgésico + Vasoconstrictor,138,1.0,1.205,2.0,0.3974999999999999,1.205,2.0
139,MUCOBROXOL 120 ML,"{'FRASCO': [1, 32.0]}",Jarabe,Mucolítico para el tratamiento de la tos productiva,Mucobroxol,Oral,Mucolítico,139,4.0,16.8,32.0,0.475,67.2,128.0
140,"NERVISEL 10,000 AMPOLLA SELEC PANAL","{'AMPOLLA': [1, 10.0]}",Ampolla,Suplemento vitamínico para el sistema nervioso,Complejo B,Inyectable,Suplemento vitamínico,140,7.0,4.8,10.0,0.52,33.6,70.0
141,"NERVISEL 25,000  AMPOLLA PANAL SELECT","{'AMPOLLA': [1, 12.0]}",Ampolla,Tratamiento de trastornos neurológicos,Nervisel,"25,000 unidades",Neuroprotector,141,9.0,6.84,12.0,0.43,61.56,108.0
142,"NERVISEL 25,000 KIT SELEC","{'KIT': [1, 17.0]}",Kit,Tratamiento de trastornos neurológicos,Nervisel,"25,000 unidades",Neuroprotector,142,4.0,9.1,17.0,0.4647058823529412,36.4,68.0
143,NERVISEL TABS BLIST X 10 CAJA X 30,"{'BLISTER': [10, 10.0], 'CAJA': [30, 30.0]}",Tabletas,Tratamiento de trastornos neurológicos,Nervisel,"25,000 unidades",Neuroprotector,143,6.0,5.7,10.0,0.43,34.2,60.0
144,OLMERSARTAN MEDOXOMIL 40 MGS BLIST X 10 AJA X 30 CAP,"{'BLISTER': [10, 49.0], 'CAJA': [30, 147.0]}",Cápsulas,Antihipertensivo,Olmesartan medoxomil,40 mg,Bloqueador de receptores de angiotensina II,144,6.0,29.57,49.0,0.3965306122448979,177.42000000000002,294.0
145,PANTOPRAZOL 40 MG BLIST X 10 CAJA X 100 CAPLIN,"{'BLISTER': [10, 15.0], 'CAJA': [100, 150.0]}",Cápsulas,Antiulceroso,Pantoprazol,40 mg,Inhibidor de la bomba de protones,145,6.0,8.42,15.0,0.4386666666666666,50.52,90.0
146,PIROXICAM 20 MG BLIST X 10 CAJA X 100,"{'BLISTER': [10, 4.0], 'CAJA': [100, 40.0]}",Cápsulas,Antiinflamatorio no esteroideo,Piroxicam,20 mg,Inhibidor de la síntesis de prostaglandinas,146,11.0,1.08,4.0,0.73,11.88,44.0
147,PIROXICAM AMPOLLA 40 MGS,"{'AMPOLLA': [1, 4.0]}",Ampolla,Antiinflamatorio no esteroideo,Piroxicam,40 mg,Inhibidor de la síntesis de prostaglandinas,147,14.0,1.56,4.0,0.61,21.84,56.0
148,PREDNISONA 5MG BLIST X 20 CAJA X 100  SELEC,"{'BLISTER': [20, 10.0], 'CAJA': [100, 50.0]}",Tabletas,Corticosteroide,Prednisona,5 mg,"Antiinflamatorio, inmunosupresor",148,5.0,5.12,10.0,0.488,25.6,50.0
149,PREGABALINA 150MGS CAJA X 10 TABS  CAPLIN,"{'CAJA': [1, 9.5]}",Cápsulas,"Antiepiléptico, analgésico",Pregabalina,150 mg,Modulador de los canales de calcio,149,23.0,5.74,9.5,0.3957894736842105,132.02,218.5
150,PRENATALES BLISTRER X 10 CAJA X 100  TABS CAPLIN,"{'BLISTER': [10, 0.0], 'CAJA': [100, 0.0]}",Tabletas,Suplemento vitamínico para embarazadas,Vitaminas y minerales,Varios componentes,Suplemento nutricional,150,0.0,0.0,0.0,,0.0,0.0
151,PROPANOLOL 40 MG CAJA X 100 BLIST X 10 CAPLIN,"{'CAJA': [100, 30.0], 'BLISTER': [10, 3.0]}",Tabletas,"Tratamiento de la hipertensión, angina de pecho, arritmias cardíacas y otros trastornos cardiovasculares",Propranolol,40 mg,Antihipertensivo,151,7.0,1.2,3.0,0.6,8.4,21.0
152,PROPOLDERMA SPRAY BUCAL 30 ML,"{'SPRAY': [1, 55.0]}",Spray,Alivio de la irritación bucal y de la garganta,No especificado,30 ml,Antiinflamatorio,152,2.0,29.0,55.0,0.4727272727272727,58.0,110.0
153,RECOVER 1 LT CEREZA,"{'BOTE': [1, 23.0]}",Jarabe,Bebida isotónica para la recuperación después de la actividad física,No especificado,1 litro,Rehidratante,153,1.0,13.6,23.0,0.408695652173913,13.6,23.0
154,RECOVER 1 LT COCO,"{'BOTE': [1, 23.0]}",Jarabe,Bebida isotónica para la recuperación después de la actividad física,No especificado,1 litro,Rehidratante,154,1.0,13.6,23.0,0.408695652173913,13.6,23.0
155,RECOVER 1 LT MANZANA,"{'BOTE': [1, 23.0]}",Jarabe,Bebida isotónica para la recuperación después de la actividad física,No especificado,1 litro,Rehidratante,155,1.0,13.6,23.0,0.408695652173913,13.6,23.0
156,RECOVER 1 LT MELOCOTON,"{'BOTE': [1, 23.0]}",Jarabe,Bebida isotónica para la recuperación después de la actividad física,No especificado,1 litro,Rehidratante,156,1.0,13.6,23.0,0.408695652173913,13.6,23.0
157,RECOVER 500ML CEREZA,"{'BOTE': [1, 15.0]}",Jarabe,Bebida isotónica para la recuperación después de la actividad física,No especificado,500 ml,Rehidratante,157,1.0,9.45,15.0,0.37,9.45,15.0
158,RECOVER 500ML COCO,"{'BOTE': [1, 15.0]}",Jarabe,Bebida isotónica para la recuperación después de la actividad física,No especificado,500 ml,Rehidratante,158,1.0,9.45,15.0,0.37,9.45,15.0
159,RECOVER 500ML MANZANA,"{'BOTE': [1, 15.0]}",Jarabe,Bebida isotónica para la recuperación después de la actividad física,No especificado,500 ml,Rehidratante,159,1.0,9.45,15.0,0.37,9.45,15.0
160,RECOVER 500ML MELOCOTON,"{'BOTE': [1, 15.0]}",Jarabe,Bebida isotónica para la recuperación después de la actividad física,No especificado,500 ml,Rehidratante,160,2.0,9.45,15.0,0.37,18.9,30.0
161,RECOVER DIABETICO LITRO CEREZA,"{'BOTE': [1, 29.0]}",Jarabe,Suplemento alimenticio para personas con diabetes,No especificado,Según indicación médica,Suplemento dietético,161,1.0,17.45,29.0,0.3982758620689655,17.45,29.0
162,RECOVER DIABETICO LITRO COCO,"{'BOTE': [1, 29.0]}",Jarabe,Suplemento alimenticio para personas con diabetes,No especificado,Según indicación médica,Suplemento dietético,162,1.0,17.45,29.0,0.3982758620689655,17.45,29.0
163,RECOVER DIABETICO LITRO MANZANA,"{'BOTE': [1, 29.0]}",Jarabe,Suplemento alimenticio para personas con diabetes,No especificado,Según indicación médica,Suplemento dietético,163,1.0,17.45,29.0,0.3982758620689655,17.45,29.0
164,RECOVER DIABETICO LITRO PIÑA,"{'BOTE': [1, 29.0]}",Jarabe,Suplemento alimenticio para personas con diabetes,No especificado,Según indicación médica,Suplemento dietético,164,1.0,17.45,29.0,0.3982758620689655,17.45,29.0
165,RESTALER (LORATAD + BETA) CAJA X 10 TAB,"{'CAJA': [1, 6.0]}",Tableta,Antihistamínico para alergias,Loratadina + Betametasona,Según indicación médica,Antialérgico,165,17.0,2.0,6.0,0.6666666666666666,34.0,102.0
166,SALBUTAMOL 2MG 120 ML SELEC,"{'BOTE': [1, 11.0]}",Jarabe,Broncodilatador para problemas respiratorios,Salbutamol,Según indicación médica,Broncodilatador,166,1.0,5.75,11.0,0.4772727272727273,5.75,11.0
167,SEXTRON (SILDENAFIL) 100 MG X 1TAB,"{'CAJA': [1, 9.0]}",Tableta,Tratamiento de la disfunción eréctil,Sildenafil,100 mg por dosis,Vasodilatador,167,5.0,5.3,9.0,0.4111111111111111,26.5,45.0
169,SIMETICONA 100MG/ML GTS. FCO 30ML SELECT,"{'FRASCO': [1, 25.0]}",Gotas,Antiflatulento para gases intestinales,Simeticona,Según indicación médica,Antiflatulento,169,3.0,12.4,25.0,0.504,37.2,75.0
170,SIMETICONA 40MG MAST BLIST X 10 SELEC CAJA X 30,"{'BLISTER': [10, 0.7], 'CAJA': [30, 2.1]}",Tableta masticable,Antiflatulento para gases intestinales,Simeticona,Según indicación médica,Antiflatulento,170,90.0,0.4,0.7,0.4285714285714285,36.0,62.99999999999999
171,SOLUTO VITAL 15 ML,"{'FRASCO': [1, 30.0]}",Solución,Suplemento vitamínico,Vitaminas y minerales,15 ml,Suplemento nutricional,171,2.0,18.0,30.0,0.4,36.0,60.0
173,SULFACETAMIDA 10% 15 ML GOT SLECT,"{'FRASCO': [1, 20.0]}",Gotas,Antibiótico tópico,Sulfacetamida,10% 15 ml,Antibacteriano,173,1.0,12.3,20.0,0.3849999999999999,12.3,20.0
174,TADALALFIL 20 MG X 4 TAB BALAXI DISP X 10 CAJITAS BLIST X 4,"{'BLISTER': [4, 36.0], 'TABLETA': [1, 9.0]}",Tabletas,Tratamiento de la disfunción eréctil,Tadalafilo,20 mg,Vasodilatador,174,8.0,2.46,9.0,0.7266666666666667,19.68,72.0
175,TAPE-C B X 2 CAPLIN,"{'CAJA': [1, 1.5]}",Cápsulas,Analgésico y antipirético,Paracetamol y cafeína,2 cápsulas,Analgésico y estimulante,175,35.0,0.36,1.5,0.7600000000000001,12.6,52.5
176,THIORELAX (TIOCOLCHICÓSICO) 8 MG X 10 TABS,"{'BLISTER': [1, 8.0]}",Tabletas,Relajante muscular,Tiocolchicosido,8 mg,Relajante muscular,176,22.0,4.285,8.0,0.464375,94.27,176.0
177,TINIDAZOL 500 MG BLIST X 10 CAJA X 100 CAPLIN,"{'BLISTER': [10, 6.0], 'CAJA': [100, 60.0]}",Tabletas,Antibiótico y antiparasitario,Tinidazol,500 mg,Antibacteriano y antiparasitario,177,9.0,3.12,6.0,0.48,28.08,54.0
178,TOALLITAS DE ALCOHOL X 200,"{'BOTE': [1, 0.25]}",Toallitas impregnadas,Desinfectante,Alcohol,200 unidades,Desinfección de la piel,178,225.0,0.078,0.25,0.688,17.55,56.25
179,TOSIFLEM JARABE 240 ML,"{'JARABE': [1, 37.0]}",Jarabe,Expectorante y antitusivo,Guaifenesina y dextrometorfano,240 ml,Fluidificante de secreciones y antitusivo,179,4.0,21.0,37.0,0.4324324324324324,84.0,148.0
181,TRAMADOL 50MG CAJA X 100 BLIST X 10 CAPLIN,"{'CAJA': [100, 120.0], 'BLISTER': [10, 12.0]}",Tabletas,Analgésico,Tramadol,50mg,Analgésico opioide,181,24.3,6.6,12.0,0.45,160.38,291.6
183,TRESBIOT 20 GRS CAPLIN,"{'CAJA': [1, 25.0]}",Cápsulas,Suplemento nutricional,No especificado,20g,Suplemento dietético,183,1.0,14.8,25.0,0.408,14.8,25.0
184,TRILOX 180 ML,"{'BOTE': [1, 20.0]}",Suspensión oral,Antibiótico,Amoxicilina y ácido clavulánico,180ml,Antibacteriano,184,4.0,11.6,20.0,0.42,46.4,80.0
185,TRILOX 360 ML,"{'BOTE': [1, 28.0]}",Suspensión oral,Antibiótico,Amoxicilina y ácido clavulánico,360ml,Antibacteriano,185,3.0,16.8,28.0,0.3999999999999999,50.400000000000006,84.0
186,TRIMETOPRIM 120 ML SELEC (SULFABAC),"{'BOTE': [1, 16.0]}",Suspensión oral,Antibiótico,Trimetoprim y sulfametoxazol,120ml,Antibacteriano,186,4.0,9.85,16.0,0.384375,39.4,64.0
189,UNICIL L-A 2.4 MEGA (PENI BENA) VIAL UNIPHARM,"{'VIAL': [1, 47.0]}",Solución inyectable,Antibiótico,Bencilpenicilina,2.4 millones de unidades,Antibacteriano,189,2.0,25.95,47.0,0.4478723404255319,51.9,94.0
190,UNIPEC 120 ML,"{'BOTE': [1, 0.0]}",Suspensión oral,Antipirético,Paracetamol,120ml,Analgésico y antipirético,190,0.0,0.0,0.0,,0.0,0.0
191,VALSARTAN 80 MG CAJA X 30 TAB CAPLIN,"{'CAJA': [1, 35.0]}",Tabletas,Tratamiento de la hipertensión arterial,Valsartan,80 mg,Antihipertensivo,191,4.0,18.0,35.0,0.4857142857142857,72.0,140.0
193,VENDA ELASTICA 3 X 5,"{'BOLSA': [1, 8.0]}",Venda elástica,Compresión y soporte en lesiones moderadas,No aplica,3 pulgadas x 5 yardas,Soporte y compresión,193,2.0,3.9,8.0,0.5125,7.8,16.0
196,VENOTROPA X 30CAPS FARMALIN,"{'CAJA': [1, 16.0]}",Cápsulas,Mejora la circulación venosa,No aplica,30 cápsulas,Flebotónico,196,3.0,9.7,16.0,0.39375,29.1,48.0
197,VIRIMAN PLUS (TADALAFIL 20 MG SELEC) CAJA X 1 TAB,"{'CAJA': [1, 8.0]}",Tableta,Tratamiento de la disfunción eréctil,Tadalafilo,20 mg,Inhibidor de la fosfodiesterasa tipo 5,197,6.0,4.45,8.0,0.44375,26.700000000000003,48.0
198,"VITAMINA C 500 MG MASTICABLE BLIST, X 10 CAJA X 100","{'CAJA': [100, 1000.0], 'BLISTER': [1, 10.0]}",Tabletas masticables,Suplemento vitamínico para fortalecer el sistema inmunológico,Vitamina C,500 mg,Antioxidante,198,4.0,5.4,10.0,0.4599999999999999,21.6,40.0
199,VITAMINA E 1000 UI BLIST X 10 CAJA X 60 GELC KURANTIS,"{'BLISTER': [10, 26.0], 'CAJA': [60, 156.0]}",Cápsulas blandas,Suplemento vitamínico para la piel y el sistema inmunológico,Vitamina E,1000 UI,Antioxidante,199,8.0,12.6,26.0,0.5153846153846154,100.8,208.0
200,VITAMINA E 400 IU BLIS X 10 GEL CAPS CAJA X 60  KURANTIS,"{'BLIS': [10, 1.5], 'CAJA': [60, 9.0]}",Cápsulas blandas,Suplemento vitamínico para la piel y el sistema inmunológico,Vitamina E,400 UI,Antioxidante,200,58.0,0.76,1.5,0.4933333333333333,44.08,87.0
201,ZIGNET PLUS CAJA X 10 TABS,"{'CAJA': [10, 23.0], 'TABLETA': [1, 2.3]}",Tabletas,Tratamiento de la hipertensión arterial,"Losartán potásico, Hidroclorotiazida",Una tableta al día,Antihipertensivo,201,20.0,1.44,2.3,0.3739130434782608,28.8,46.0
