medicamento,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica
TE PARA LA PRESION CAJA X 20 SOB VIDA,Sobres,Infusión para ayudar a controlar la presión arterial alta,Hierbas especiales para la presión arterial,1 sobre al día,Regulador de la presión arterial
TE PARA LOS NERVIOS CAJA X 20 SOB VIDA,Sobres,Infusión para calmar los nervios y reducir la ansiedad,Hierbas relajantes,1 sobre cada 8 horas,Ansiolítico y relajante
TE PERICON CAJA X 20 SOBRES,Sobres,Infusión para aliviar los cólicos menstruales y regular el ciclo menstrual,Pericón,1 sobre cada 6 horas durante el periodo menstrual,Antiespasmódico y regulador hormonal
TE RENAL CAJA X 20 SOBRES,Sobres,Infusión para mejorar la función renal y prevenir la formación de cálculos renales,Hierbas diuréticas y depurativas,1 sobre al día,Diurético y protector renal
TE TILO CAJA X 20 SOBRES,Sobres,Infusión para calmar los nervios y conciliar el sueño,Tilo,1 sobre en agua caliente antes de dormir,Sedante y relajante
TE VERDE PIÑA CAJA X 20 SOBRES,Sobres,Infusión antioxidante con sabor a piña,Té verde,1 sobre en agua caliente al día,Antioxidante y estimulante
TERABIOL LANCASCO AMPIC+SULBACTAN) FCO X 70 ML,Solución inyectable,Antibiótico de amplio espectro,Ampicilina + Sulbactam,Según indicación médica,Antibacteriano
TERRAMICINA UNGÜENTO 5 GRS,Ungüento,Antibiótico tópico para infecciones oculares,Clorhidrato de oxitetraciclina,Aplicar en el ojo afectado según indicación médica,Antibacteriano
TIAMINA 300 ANCALMO CAJA X 100,Tabletas,Suplemento de vitamina B1 para el sistema nervioso,Tiamina,1 tableta al día,Suplemento vitamínico
TRAMADOL CAPSULA  CAJA X 100 BLIST X 10 MILAN,Cápsulas,Analgésico opioide para el alivio del dolor moderado a severo,Tramadol,Según indicación médica,Analgésico
TRES TOROS  CAJA X 10 AMPOLLAS VIAL BEBIBLE,Ampollas bebibles,Suplemento energizante y revitalizante,Vitaminas y minerales,1 ampolla al día,Suplemento nutricional
TRIAXOBIL S 1.5 FCO I.M /I.V.,Solución inyectable,Antibiótico para infecciones graves,Ceftriaxona,Según indicación médica,Antibacteriano
TRIPLE FORTE DX CAJA X 3 INYEC,Inyección,Combinación de vitaminas y minerales para fortalecer el sistema inmunológico,Vitaminas y minerales,Según indicación médica,Suplemento nutricional
TUSILEXIL FCO X 120 ML,Jarabe,Expectorante para aliviar la tos y la congestión,Guaifenesina,Según indicación médica,Expectorante
UNESIA 20 GRS,Crema,Tratamiento tópico para hongos en la piel,Clotrimazol,Aplicar una capa delgada sobre la zona afectada 2 veces al día,Antifúngico
UNIPULMIN ANTGRIPAL INYECTABLE,Inyectable,Tratamiento para gripa y tos,"Paracetamol, Fenilefrina, Clorfenamina",Según indicación médica,"Analgésico, Descongestionante, Antihistamínico"
UNIPULMIN GRIPE Y TOS INYECTABLE,Inyectable,Tratamiento para gripa y tos,"Paracetamol, Fenilefrina, Dextrometorfano",Según indicación médica,"Analgésico, Descongestionante, Antitusivo"
UROFIN DISPENS X 100,Tabletas,Suplemento vitamínico,Complejo B,Tomar 1 tableta al día,Suplemento vitamínico
VARIFIN  FCO 100 TABS,Tabletas,Antiinflamatorio y analgésico,Ibuprofeno,Según indicación médica,"Antiinflamatorio, Analgésico"
VICK PASTI MENTOL 5 X 24 SOBRES,Sobres,Alivio de la congestión nasal,Mentol,Disolver un sobre en agua caliente y inhalar los vapores,Descongestionante
VICK VAPORUB 12G  CAJA X 12 LATITAS,Pomada,Alivio de la congestión nasal y muscular,"Mentol, Alcanfor, Eucalipto",Aplicar en pecho y espalda frotando suavemente,"Descongestionante, Analgésico"
VITAL FUERTE 10 AMP BEB 10 ML,Ampollas bebibles,Suplemento vitamínico,Complejo B,Tomar 1 ampolla al día,Suplemento vitamínico
VITALFUERTE X 100 TAB,Tabletas,Suplemento vitamínico,Complejo B,Tomar 1 tableta al día,Suplemento vitamínico
VITAMINA E 1000 X 100 VESA,Cápsulas,Suplemento vitamínico,Vitamina E,Tomar 1 cápsula al día,Antioxidante
VIVE AMOR 16 CAJAS X 3 UND,Tabletas,Suplemento vitamínico y mineral,Vitaminas y minerales,1 tableta al día,Suplemento vitamínico y mineral
VIVE ORIGINAL 16 CAJAS X 3 UND,Tabletas,Suplemento vitamínico y mineral,Vitaminas y minerales,1 tableta al día,Suplemento vitamínico y mineral
WINASORB GOTAS 15 ML,Gotas,Antidiarreico,Racecadotrilo,Según indicación médica,Inhibidor de la encefalinasa
WINASORB JBE 60 ML,Jarabe,Antidiarreico,Racecadotrilo,Según indicación médica,Inhibidor de la encefalinasa
YODOCLORINA DISP X 100 CAPS,Cápsulas,Antiséptico y desinfectante,Yodo,Según indicación médica,Antiséptico
ZANAHORIA CON VIT A 40 ML,Jarabe,Suplemento vitamínico,Zanahoria y vitamina A,Según indicación médica,Suplemento vitamínico
ZARZAPARRILLA FCO 240 ML (HIGSA),Frascos,Depurativo y diurético,Extracto de zarzaparrilla,Según indicación médica,Depurativo y diurético
ZORRIFLEM JB 180 ML,Jarabe,Mucolítico y expectorante,Ambroxol,Según indicación médica,Mucolítico y expectorante
ZORRITONE CARAMELO BARRA CAJA X 16 CEREZA,Caramelos,Suplemento energético,Vitaminas y minerales,Según indicación médica,Suplemento energético
ZORRITONE CARAMELO BARRA CAJA X 16 MIEL LIMON,Caramelos,Suplemento energético,Vitaminas y minerales,Según indicación médica,Suplemento energético
ZORRITONE CARAMELO BARRA CAJA X 16 TRADICIONAL,Caramelo en barra,Alivio de la tos y la irritación de garganta,"Miel de abeja, extracto de eucalipto, extracto de menta",Chupar un caramelo cada 2-3 horas según sea necesario,Expectorante y calmante de la garganta
ZORRITONE CARAMELO X 500,Caramelo,Alivio de la tos y la irritación de garganta,"Miel de abeja, extracto de eucalipto, extracto de menta",Chupar un caramelo cada 2-3 horas según sea necesario,Expectorante y calmante de la garganta
